iter	Passed	Remaining
0	2	226
1	4	211
2	6	196
3	7	175
4	8	169
5	10	165
6	12	160
7	13	156
8	15	154
9	16	151
10	18	148
11	20	147
12	21	145
13	23	143
14	24	141
15	26	138
16	27	136
17	29	135
18	31	133
19	32	131
20	34	129
21	36	128
22	37	126
23	39	124
24	40	121
25	42	119
26	43	117
27	44	115
28	46	112
29	47	110
30	48	108
31	49	105
32	50	103
33	51	100
34	52	98
35	54	96
36	55	93
37	56	91
38	57	90
39	58	88
40	59	86
41	60	83
42	61	81
43	62	79
44	63	77
45	64	75
46	65	73
47	66	72
48	67	70
49	68	68
50	69	66
51	70	64
52	70	62
53	71	60
54	72	58
55	72	57
56	73	55
57	74	53
58	74	52
59	75	50
60	76	48
61	77	47
62	78	45
63	79	44
64	79	42
65	80	41
66	81	39
67	81	38
68	82	37
69	83	35
70	84	34
71	85	33
72	85	31
73	86	30
74	87	29
75	87	27
76	88	26
77	89	25
78	90	23
79	90	22
80	91	21
81	92	20
82	93	19
83	93	17
84	94	16
85	95	15
86	96	14
87	96	13
88	97	12
89	98	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	103	3
97	104	2
98	105	1
99	105	0
