iter	Passed	Remaining
0	136	135977
1	137	68465
2	138	45945
3	147	36837
4	149	29845
5	153	25469
6	156	22270
7	161	19998
8	172	18942
9	176	17431
10	178	16090
11	193	15928
12	194	14784
13	197	13919
14	199	13108
15	202	12434
16	203	11773
17	204	11165
18	205	10619
19	209	10270
20	213	9950
21	214	9542
22	215	9162
23	216	8814
24	217	8494
25	218	8194
26	219	7912
27	220	7658
28	225	7537
29	230	7447
30	231	7244
31	233	7049
32	234	6873
33	236	6708
34	241	6658
35	243	6525
36	252	6568
37	253	6422
38	254	6281
39	255	6143
40	257	6020
41	259	5924
42	261	5825
43	266	5799
44	268	5687
45	269	5579
46	276	5614
47	278	5525
48	280	5434
49	281	5349
50	282	5260
51	283	5176
52	288	5151
53	290	5091
54	292	5026
55	294	4971
56	296	4899
57	298	4850
58	303	4839
59	305	4781
60	306	4719
61	308	4661
62	312	4643
63	318	4651
64	319	4594
65	320	4537
66	321	4482
67	322	4426
68	324	4374
69	334	4446
70	336	4399
71	337	4354
72	339	4312
73	346	4334
74	348	4299
75	351	4277
76	353	4239
77	362	4287
78	365	4265
79	367	4226
80	369	4190
81	375	4203
82	377	4169
83	381	4159
84	393	4230
85	397	4220
86	398	4186
87	409	4248
88	412	4222
89	414	4191
90	424	4238
91	427	4216
92	429	4187
93	430	4150
94	437	4166
95	441	4160
96	444	4133
97	445	4098
98	450	4099
99	452	4074
100	454	4049
101	457	4026
102	459	4002
103	468	4033
104	471	4016
105	473	3991
106	475	3968
107	489	4039
108	504	4123
109	506	4099
110	518	4150
111	520	4130
112	522	4100
113	530	4121
114	534	4115
115	536	4089
116	541	4089
117	544	4067
118	546	4042
119	558	4092
120	559	4066
121	560	4035
122	565	4030
123	573	4054
124	581	4072
125	584	4050
126	585	4027
127	589	4014
128	596	4025
129	602	4029
130	604	4007
131	610	4014
132	612	3990
133	614	3968
134	617	3955
135	618	3929
136	619	3903
137	631	3944
138	632	3920
139	634	3897
140	635	3872
141	640	3868
142	643	3855
143	646	3841
144	648	3823
145	655	3833
146	661	3835
147	662	3811
148	663	3788
149	664	3765
150	665	3741
151	672	3749
152	675	3738
153	676	3715
154	677	3693
155	678	3671
156	679	3649
157	680	3626
158	684	3622
159	689	3621
160	690	3599
161	692	3580
162	693	3560
163	694	3539
164	695	3519
165	696	3500
166	700	3492
167	702	3478
168	705	3468
169	707	3452
170	708	3435
171	713	3435
172	717	3427
173	718	3410
174	719	3393
175	721	3376
176	722	3361
177	723	3343
178	729	3346
179	731	3332
180	734	3321
181	738	3319
182	751	3353
183	753	3342
184	755	3326
185	763	3341
186	764	3324
187	765	3308
188	767	3292
189	768	3275
190	772	3273
191	777	3271
192	779	3257
193	780	3241
194	781	3225
195	782	3209
196	783	3194
197	784	3179
198	790	3182
199	791	3167
200	793	3154
201	796	3146
202	798	3133
203	799	3119
204	803	3114
205	806	3110
206	808	3096
207	809	3082
208	810	3069
209	812	3056
210	814	3046
211	826	3072
212	828	3062
213	838	3078
214	841	3074
215	846	3073
216	848	3061
217	849	3048
218	851	3035
219	852	3023
220	863	3044
221	865	3033
222	867	3021
223	868	3008
224	877	3020
225	881	3020
226	883	3009
227	884	2996
228	892	3005
229	895	2996
230	896	2985
231	907	3005
232	909	2994
233	911	2982
234	912	2970
235	923	2989
236	925	2978
237	926	2967
238	928	2955
239	934	2958
240	939	2957
241	941	2950
242	943	2938
243	954	2956
244	955	2945
245	957	2935
246	959	2925
247	969	2938
248	976	2945
249	984	2954
250	998	2978
251	1000	2970
252	1012	2988
253	1033	3035
254	1045	3053
255	1049	3049
256	1054	3048
257	1059	3046
258	1074	3074
259	1077	3066
260	1079	3055
261	1091	3073
262	1093	3064
263	1109	3093
264	1111	3082
265	1117	3084
266	1123	3084
267	1125	3073
268	1127	3063
269	1132	3063
270	1135	3053
271	1137	3044
272	1151	3066
273	1153	3055
274	1164	3070
275	1187	3114
276	1198	3129
277	1201	3120
278	1213	3136
279	1216	3126
280	1218	3118
281	1234	3142
282	1238	3136
283	1239	3125
284	1241	3114
285	1249	3119
286	1256	3121
287	1269	3138
288	1288	3170
289	1303	3191
290	1305	3180
291	1320	3200
292	1334	3220
293	1336	3209
294	1338	3198
295	1352	3215
296	1368	3239
297	1382	3257
298	1384	3246
299	1392	3248
300	1394	3238
301	1401	3239
302	1414	3253
303	1416	3242
304	1424	3245
305	1429	3242
306	1443	3259
307	1451	3260
308	1457	3258
309	1460	3249
310	1461	3238
311	1463	3227
312	1472	3231
313	1474	3220
314	1476	3210
315	1491	3228
316	1493	3216
317	1496	3209
318	1499	3201
319	1501	3189
320	1508	3190
321	1510	3179
322	1517	3180
323	1521	3174
324	1523	3164
325	1529	3163
326	1534	3159
327	1536	3147
328	1537	3135
329	1546	3140
330	1548	3129
331	1550	3118
332	1551	3107
333	1552	3096
334	1560	3098
335	1563	3089
336	1566	3082
337	1568	3071
338	1571	3064
339	1574	3056
340	1576	3047
341	1580	3040
342	1582	3031
343	1589	3031
344	1592	3023
345	1595	3015
346	1596	3004
347	1597	2993
348	1611	3006
349	1613	2997
350	1621	2997
351	1622	2987
352	1624	2977
353	1625	2966
354	1626	2956
355	1635	2958
356	1638	2951
357	1640	2942
358	1646	2939
359	1649	2931
360	1651	2923
361	1654	2915
362	1655	2905
363	1657	2896
364	1666	2899
365	1670	2893
366	1680	2899
367	1687	2898
368	1697	2903
369	1699	2892
370	1700	2883
371	1708	2883
372	1714	2881
373	1718	2875
374	1723	2872
375	1725	2864
376	1727	2854
377	1733	2852
378	1740	2852
379	1745	2848
380	1755	2852
381	1768	2861
382	1771	2854
383	1775	2847
384	1790	2859
385	1802	2867
386	1805	2860
387	1812	2858
388	1819	2857
389	1820	2847
390	1822	2837
391	1825	2831
392	1833	2831
393	1835	2822
394	1836	2813
395	1845	2815
396	1847	2806
397	1849	2796
398	1863	2807
399	1892	2838
400	1894	2829
401	1895	2820
402	1897	2810
403	1900	2803
404	1906	2800
405	1908	2791
406	1909	2782
407	1911	2773
408	1912	2763
409	1917	2758
410	1920	2752
411	1922	2744
412	1927	2738
413	1936	2740
414	1937	2731
415	1939	2722
416	1941	2713
417	1942	2704
418	1946	2699
419	1948	2691
420	1951	2684
421	1953	2675
422	1954	2666
423	1955	2657
424	1956	2647
425	1965	2647
426	1969	2643
427	1972	2636
428	1981	2636
429	1983	2628
430	1984	2619
431	1985	2610
432	1986	2601
433	1987	2592
434	1988	2582
435	1992	2577
436	1998	2574
437	1999	2565
438	2000	2557
439	2002	2548
440	2003	2539
441	2011	2539
442	2016	2535
443	2018	2528
444	2023	2523
445	2029	2521
446	2031	2513
447	2032	2504
448	2034	2496
449	2044	2498
450	2049	2494
451	2050	2486
452	2065	2494
453	2074	2495
454	2077	2488
455	2079	2480
456	2080	2472
457	2088	2470
458	2092	2465
459	2093	2457
460	2095	2449
461	2096	2441
462	2104	2440
463	2105	2432
464	2115	2434
465	2117	2426
466	2119	2418
467	2131	2422
468	2133	2415
469	2135	2407
470	2145	2409
471	2150	2405
472	2157	2403
473	2159	2396
474	2160	2388
475	2172	2391
476	2176	2385
477	2185	2386
478	2186	2378
479	2188	2370
480	2189	2362
481	2191	2354
482	2194	2348
483	2198	2344
484	2202	2338
485	2204	2331
486	2211	2329
487	2213	2322
488	2215	2314
489	2216	2306
490	2217	2298
491	2225	2297
492	2230	2293
493	2233	2287
494	2239	2284
495	2242	2279
496	2244	2272
497	2246	2264
498	2247	2256
499	2249	2249
500	2252	2243
501	2256	2238
502	2258	2231
503	2260	2224
504	2264	2219
505	2266	2213
506	2268	2205
507	2270	2198
508	2272	2192
509	2274	2185
510	2275	2177
511	2279	2172
512	2283	2167
513	2284	2160
514	2286	2153
515	2287	2145
516	2289	2138
517	2290	2131
